model,fold,accuracy,f1_macro,auc_roc
DecisionTree,1,0.8571428571428571,0.8482749775554701,0.8503611971104231
AdaBoost,1,0.9560439560439561,0.9518008474576272,0.9958720330237358
ProjectRandomForest,1,0.9560439560439561,0.9518008474576272,0.9891640866873065
SklearnRandomForest,1,0.9560439560439561,0.9518008474576272,0.9914860681114551
DecisionTree,2,0.9230769230769231,0.918301910991407,0.9207946336429308
AdaBoost,2,0.989010989010989,0.9881894873458793,0.998452012383901
ProjectRandomForest,2,0.978021978021978,0.9767857142857143,0.9992260061919505
SklearnRandomForest,2,1.0,1.0,1.0
DecisionTree,3,0.9230769230769231,0.9173264114211551,0.9148606811145512
AdaBoost,3,0.9560439560439561,0.952455590386625,0.9953560371517028
ProjectRandomForest,3,0.945054945054945,0.9393090569561158,0.989422084623323
SklearnRandomForest,3,0.945054945054945,0.9393090569561158,0.9901960784313726
DecisionTree,4,0.8791208791208791,0.872985661718056,0.8797729618163055
AdaBoost,4,0.9560439560439561,0.9530443756449949,0.9850361197110423
ProjectRandomForest,4,0.9340659340659341,0.9286833855799372,0.97781217750258
SklearnRandomForest,4,0.945054945054945,0.9401709401709402,0.9814241486068112
DecisionTree,5,0.9340659340659341,0.9286833855799372,0.9236326109391124
AdaBoost,5,0.9560439560439561,0.9530443756449949,0.9953560371517027
ProjectRandomForest,5,0.978021978021978,0.9762277951933125,0.9834881320949432
SklearnRandomForest,5,0.967032967032967,0.9645684620376379,0.9891640866873065
