n_estimators,train_acc,test_acc
1,0.63285,0.6331
5,0.63285,0.6331
10,0.587775,0.5876
15,0.600975,0.5974
20,0.666975,0.6674
25,0.645375,0.6431
30,0.63895,0.6423
35,0.653375,0.6553
40,0.62065,0.6186
45,0.620675,0.6188
50,0.62735,0.6259
55,0.6203,0.619
60,0.61225,0.6127
65,0.631625,0.6334
70,0.636825,0.6384
75,0.62575,0.6261
80,0.6323,0.6335
85,0.65285,0.6558
90,0.65635,0.6607
95,0.6066,0.6051
100,0.627525,0.6298
105,0.606875,0.6063
110,0.6132,0.6124
115,0.61695,0.6186
120,0.6038,0.6054
125,0.6059,0.6073
130,0.61035,0.6107
135,0.6093,0.6093
140,0.603825,0.6071
145,0.60035,0.5991
150,0.6028,0.601
155,0.604275,0.6074
160,0.60665,0.6087
165,0.605675,0.6042
170,0.603825,0.6061
175,0.611675,0.615
180,0.632575,0.6327
185,0.61925,0.6123
190,0.6212,0.6171
195,0.61085,0.6133
200,0.6341,0.6379
