n_estimators,train_acc,test_acc
1,0.9296703296703297,0.8771929824561403
5,0.9582417582417583,0.9473684210526315
10,0.9736263736263736,0.956140350877193
15,0.978021978021978,0.9649122807017544
20,0.9868131868131869,0.9736842105263158
25,0.9934065934065934,0.9736842105263158
30,1.0,0.9649122807017544
35,1.0,0.9736842105263158
40,1.0,0.9736842105263158
45,1.0,0.9824561403508771
50,1.0,0.9736842105263158
55,1.0,0.9736842105263158
60,1.0,0.9824561403508771
65,1.0,0.9824561403508771
70,1.0,0.9736842105263158
75,1.0,0.9736842105263158
80,1.0,0.9736842105263158
85,1.0,0.9824561403508771
90,1.0,0.9736842105263158
95,1.0,0.9824561403508771
100,1.0,0.9736842105263158
105,1.0,0.9736842105263158
110,1.0,0.9736842105263158
115,1.0,0.9736842105263158
120,1.0,0.9736842105263158
125,1.0,0.9736842105263158
130,1.0,0.9736842105263158
135,1.0,0.9736842105263158
140,1.0,0.9736842105263158
145,1.0,0.9736842105263158
150,1.0,0.9736842105263158
155,1.0,0.9736842105263158
160,1.0,0.9736842105263158
165,1.0,0.9736842105263158
170,1.0,0.9649122807017544
175,1.0,0.9736842105263158
180,1.0,0.9649122807017544
185,1.0,0.9736842105263158
190,1.0,0.9736842105263158
195,1.0,0.9736842105263158
200,1.0,0.9736842105263158
