model,fold,accuracy,f1_macro,auc_roc
DecisionTree,1,0.8166871542716656,0.7469196260859716,0.7622906639882675
AdaBoost,1,0.8535648432698217,0.781759628977674,0.9034183802569611
ProjectRandomForest,1,0.8657037492317148,0.8006349687037119,0.9174247216599191
SklearnRandomForest,1,0.8527965580823602,0.7883081394559209,0.8957431137941005
DecisionTree,2,0.8169944683466502,0.7499983147283102,0.7725378005453193
AdaBoost,2,0.8587891825445605,0.7904247936302418,0.9133010023341319
ProjectRandomForest,2,0.8681622618315918,0.80599598196219,0.9219723415682062
SklearnRandomForest,2,0.8460356484326982,0.7812348909531909,0.9003456012971991
DecisionTree,3,0.8175810665437221,0.7480681348377642,0.7685871814679796
AdaBoost,3,0.8578453972644844,0.7889376795496804,0.9105151414937127
ProjectRandomForest,3,0.8658367911479945,0.8005947114489325,0.9197276055486514
SklearnRandomForest,3,0.8495466420777624,0.7842361140347511,0.900058648904919
DecisionTree,4,0.8125096050407253,0.7406589337018004,0.7578140817979349
AdaBoost,4,0.8509297679422161,0.774454298460921,0.9062803446950759
ProjectRandomForest,4,0.8650683878899647,0.7991901026765065,0.9163347688741421
SklearnRandomForest,4,0.8490856001229445,0.7823570885548226,0.8924716361033177
DecisionTree,5,0.814046411556785,0.7448295499623279,0.7643372873547071
AdaBoost,5,0.8532349777163055,0.7849874053219327,0.9089289200697489
ProjectRandomForest,5,0.8638389426771169,0.8008756192154063,0.9160473335922747
SklearnRandomForest,5,0.8506224066390041,0.7867587978123505,0.8937556040841119
