model,fold,accuracy,f1_macro,auc_roc
DecisionTree,1,0.788875,0.6836374545992642,0.8144290430933392
AdaBoost,1,0.647625,0.3377677832447943,0.8929887789269207
ProjectRandomForest,1,0.819375,0.6676023492383802,0.9746480096795248
SklearnRandomForest,1,0.862375,0.7825814063679815,0.9825328268033372
DecisionTree,2,0.7905,0.7240929129836048,0.8439155221948665
AdaBoost,2,0.641125,0.3409257845285571,0.8993240360660353
ProjectRandomForest,2,0.820625,0.6633312286432752,0.9738008405206607
SklearnRandomForest,2,0.86325,0.7811790744532117,0.9814101918314979
DecisionTree,3,0.801,0.6809752075162797,0.8153017450185068
AdaBoost,3,0.622625,0.32796262957790917,0.8918314621055171
ProjectRandomForest,3,0.82525,0.6578613152083017,0.9757370780825676
SklearnRandomForest,3,0.866625,0.7635636229331441,0.9828731794238366
DecisionTree,4,0.8015,0.7339468125148321,0.8450849482608866
AdaBoost,4,0.608875,0.3301908370183985,0.8839187987161846
ProjectRandomForest,4,0.817375,0.6837770636577499,0.9732855880853577
SklearnRandomForest,4,0.85875,0.7741277676294711,0.9810275611734164
DecisionTree,5,0.80425,0.7224366703718195,0.8397390797857224
AdaBoost,5,0.616125,0.3210250582750706,0.8884273693302197
ProjectRandomForest,5,0.82075,0.6671858259196696,0.9745165214540075
SklearnRandomForest,5,0.864,0.774229049711065,0.9824374365878644
