max_depth,test_acc,oob_acc
1,0.763701155074957,0.772
2,0.7934996313590563,0.8048
3,0.8079380683214549,0.8396
4,0.8157409682968788,0.8472
5,0.8374293438191202,0.8516
6,0.8410543130990416,0.8522
7,0.8424059965593512,0.8566
8,0.8448636028508233,0.8572
9,0.8422831162447776,0.856
10,0.842774637503072,0.8596
11,0.8457237650528385,0.8598
12,0.8412386335709019,0.857
13,0.8441877611206685,0.859
14,0.8470754485131482,0.8616
15,0.8363234209879578,0.8594
16,0.8400712705824527,0.8608
17,0.842160235930204,0.8612
18,0.8366306217743917,0.8594
19,0.8417915949864831,0.86
20,0.8397026296387319,0.8568
