n_estimators,test_acc,oob_acc
1,0.6599,0.6579945799457995
5,0.7254,0.6679973386560213
10,0.7433,0.6957399555824753
15,0.7523,0.7107107107107107
20,0.7593,0.731
25,0.7643,0.7362
30,0.763,0.7374
35,0.7654,0.7414
40,0.7639,0.7404
45,0.7648,0.7492
50,0.7638,0.7474
55,0.7631,0.7476
60,0.7627,0.7454
65,0.7648,0.7488
70,0.7647,0.751
75,0.7646,0.7514
80,0.765,0.7528
85,0.7658,0.7502
90,0.7663,0.7522
95,0.7676,0.7518
100,0.7661,0.7514
105,0.7661,0.7542
110,0.7666,0.7526
115,0.7663,0.7546
120,0.7657,0.7572
125,0.7663,0.7586
130,0.7678,0.758
135,0.7681,0.7578
140,0.769,0.7562
145,0.77,0.7574
150,0.7699,0.7572
155,0.7701,0.7592
160,0.7707,0.7596
165,0.7696,0.7604
170,0.7698,0.7594
175,0.7705,0.7576
180,0.7704,0.761
185,0.7712,0.7602
190,0.7708,0.7612
195,0.7706,0.761
200,0.7709,0.761
