Age,Education_num,marital_status,Occupation,Relationship,Sex,capital_gain,capital_loss,hours_per_week,is_US,Workclass_ Local-gov,Workclass_ Never-worked,Workclass_ Private,Workclass_ Self-emp-inc,Workclass_ Self-emp-not-inc,Workclass_ State-gov,Workclass_ Without-pay,Race_ Asian-Pac-Islander,Race_ Black,Race_ Other,Race_ White
39,13,0,3768,1,1,2174,0,40,1,False,False,False,False,False,True,False,False,False,False,True
50,13,2,4065,0,1,0,0,13,1,False,False,False,False,True,False,False,False,False,False,True
38,9,1,1369,1,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
53,7,2,1369,0,1,0,0,40,1,False,False,True,False,False,False,False,False,True,False,False
28,13,2,5979,5,0,0,0,40,0,False,False,True,False,False,False,False,False,True,False,False
37,14,2,4065,5,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
49,5,2,3291,1,0,0,0,16,0,False,False,True,False,False,False,False,False,True,False,False
52,9,2,4065,0,1,0,0,45,1,False,False,False,False,True,False,False,False,False,False,True
31,14,0,5979,1,0,14084,0,50,1,False,False,True,False,False,False,False,False,False,False,True
42,13,2,4065,0,1,5178,0,40,1,False,False,True,False,False,False,False,False,False,False,True
37,10,2,4065,0,1,0,0,80,1,False,False,True,False,False,False,False,False,True,False,False
30,13,2,5979,0,1,0,0,40,0,False,False,False,False,False,True,False,True,False,False,False
23,13,0,3768,3,0,0,0,30,1,False,False,True,False,False,False,False,False,False,False,True
32,12,0,3650,1,1,0,0,50,1,False,False,True,False,False,False,False,False,True,False,False
40,11,2,4094,0,1,0,0,40,1,False,False,True,False,False,False,False,True,False,False,False
34,4,2,1597,0,1,0,0,45,0,False,False,True,False,False,False,False,False,False,False,False
25,9,0,992,3,1,0,0,35,1,False,False,False,False,True,False,False,False,False,False,True
32,9,0,2000,4,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
38,7,2,3650,0,1,0,0,50,1,False,False,True,False,False,False,False,False,False,False,True
43,14,1,4065,4,0,0,0,45,1,False,False,False,False,True,False,False,False,False,False,True
40,16,2,5979,0,1,0,0,60,1,False,False,True,False,False,False,False,False,False,False,True
54,9,1,3291,4,0,0,0,20,1,False,False,True,False,False,False,False,False,True,False,False
35,5,2,992,0,1,0,0,40,1,False,False,False,False,False,False,False,False,True,False,False
43,7,2,1597,0,1,0,2042,40,1,False,False,True,False,False,False,False,False,False,False,True
59,9,1,927,4,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
56,13,2,927,0,1,0,0,40,1,True,False,False,False,False,False,False,False,False,False,True
19,9,0,4094,3,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
54,10,2,5979,0,1,0,0,60,0,False,False,True,False,False,False,False,True,False,False,False
39,9,1,4065,1,1,0,0,80,1,False,False,True,False,False,False,False,False,False,False,True
49,9,2,4094,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
23,12,0,649,1,1,0,0,52,1,True,False,False,False,False,False,False,False,False,False,True
20,10,0,3650,3,1,0,0,44,1,False,False,True,False,False,False,False,False,True,False,False
45,13,1,4065,3,1,0,1408,40,1,False,False,True,False,False,False,False,False,False,False,True
30,10,2,3768,3,1,0,0,40,1,False,False,False,False,False,False,False,False,False,False,True
22,10,2,3291,0,1,0,0,15,1,False,False,False,False,False,True,False,False,True,False,False
48,7,0,2000,4,1,0,0,40,0,False,False,True,False,False,False,False,False,False,False,True
21,10,0,2000,3,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
19,9,2,3768,5,0,0,0,25,1,False,False,True,False,False,False,False,False,False,False,True
31,10,2,3650,0,1,0,0,38,1,False,False,True,False,False,False,False,False,False,False,True
48,12,2,5979,0,1,0,0,40,1,False,False,False,False,True,False,False,False,False,False,True
31,5,2,2000,0,1,0,0,43,1,False,False,True,False,False,False,False,False,False,False,True
53,13,2,5979,0,1,0,0,40,1,False,False,False,False,True,False,False,False,False,False,True
24,13,2,927,0,1,0,0,50,1,False,False,True,False,False,False,False,False,False,False,True
49,9,1,3768,4,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
25,9,0,1369,1,1,0,0,35,1,False,False,True,False,False,False,False,False,False,False,True
57,13,2,5979,0,1,0,0,40,1,False,False,False,False,False,False,False,False,True,False,False
53,9,2,2000,0,1,0,0,38,1,False,False,True,False,False,False,False,False,False,False,True
44,14,1,4065,4,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
41,11,2,4094,0,1,0,0,40,1,False,False,False,False,False,True,False,False,False,False,True
29,11,0,5979,1,1,0,0,43,1,False,False,True,False,False,False,False,False,False,False,True
25,10,2,4065,5,0,0,0,40,1,False,False,True,False,False,False,False,False,False,True,False
18,9,0,3291,3,0,0,0,30,1,False,False,True,False,False,False,False,False,False,False,True
47,15,2,5979,5,0,0,1902,60,0,False,False,True,False,False,False,False,False,False,False,True
50,13,1,4065,1,1,0,0,55,1,False,False,False,False,False,False,False,False,False,False,True
47,9,1,4065,1,1,0,0,60,1,False,False,False,True,False,False,False,False,False,False,True
43,10,2,927,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
46,3,2,2000,0,1,0,0,40,0,False,False,True,False,False,False,False,False,False,False,True
35,11,2,3291,0,1,0,0,40,0,False,False,True,False,False,False,False,False,False,False,True
41,9,2,3768,0,1,0,0,48,1,False,False,True,False,False,False,False,False,False,False,True
30,9,2,2000,0,1,5013,0,40,1,False,False,True,False,False,False,False,False,False,False,True
30,13,2,3650,0,1,2407,0,40,1,False,False,True,False,False,False,False,False,False,False,True
32,4,2,5979,1,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
48,9,2,1597,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
42,16,2,5979,0,1,0,0,45,1,False,False,True,False,False,False,False,False,False,False,True
29,10,1,927,1,1,0,0,58,1,False,False,True,False,False,False,False,False,False,False,True
36,9,2,4094,0,1,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
28,10,1,3768,1,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
53,9,2,3768,5,0,0,0,40,1,False,False,True,False,False,False,False,False,False,False,True
